Day,Growth Stage,Min Temperature (Â°C),Max Temperature (Â°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,20.0,30.0,60.0,1005.0,3.0
2,Seedling,20.1,30.1,61.0,1004.5,4.0
3,Seedling,20.2,30.2,62.0,1004.0,2.0
4,Seedling,20.3,30.3,63.0,1003.5,3.0
5,Seedling,20.4,30.4,64.0,1003.0,1.0
6,Seedling,20.5,30.5,65.0,1002.5,2.0
7,Seedling,20.6,30.6,66.0,1002.0,3.0
8,Seedling,20.7,30.7,67.0,1001.5,4.0
9,Seedling,20.8,30.8,68.0,1001.0,3.0
10,Seedling,20.9,30.9,69.0,1000.5,2.0
11,Vegetative,21.0,31.0,60.0,1000.0,5.0
12,Vegetative,21.1,31.1,61.0,999.5,4.0
13,Vegetative,21.2,31.2,62.0,999.0,3.0
14,Vegetative,21.3,31.3,63.0,998.5,2.0
15,Vegetative,21.4,31.4,64.0,998.0,4.0
16,Vegetative,21.5,31.5,65.0,997.5,3.0
17,Vegetative,21.6,31.6,66.0,997.0,5.0
18,Vegetative,21.7,31.7,67.0,996.5,4.0
19,Vegetative,21.8,31.8,68.0,996.0,3.0
20,Vegetative,21.9,31.9,69.0,995.5,2.0
21,Flowering,22.0,32.0,60.0,995.0,4.0
22,Flowering,22.1,32.1,61.0,994.5,5.0
23,Flowering,22.2,32.2,62.0,994.0,3.0
24,Flowering,22.3,32.3,63.0,993.5,2.0
25,Flowering,22.4,32.4,64.0,993.0,4.0
26,Flowering,22.5,32.5,65.0,992.5,5.0
27,Flowering,22.6,32.6,66.0,992.0,4.0
28,Flowering,22.7,32.7,67.0,991.5,3.0
29,Flowering,22.8,32.8,68.0,991.0,2.0
30,Flowering,22.9,32.9,69.0,990.5,4.0
31,Flowering,23.0,33.0,60.0,990.0,5.0
32,Flowering,23.1,33.1,61.0,989.5,4.0
33,Flowering,23.2,33.2,62.0,989.0,3.0
34,Flowering,23.3,33.3,63.0,988.5,2.0
35,Flowering,23.4,33.4,64.0,988.0,4.0
36,Fruiting,23.5,33.5,65.0,987.5,5.0
37,Fruiting,23.6,33.6,66.0,987.0,4.0
38,Fruiting,23.7,33.7,67.0,986.5,3.0
39,Fruiting,23.8,33.8,68.0,986.0,2.0
40,Fruiting,23.9,33.9,69.0,985.5,4.0
41,Fruiting,24.0,34.0,60.0,985.0,5.0
42,Fruiting,24.1,34.1,61.0,984.5,4.0
43,Fruiting,24.2,34.2,62.0,984.0,3.0
44,Fruiting,24.3,34.3,63.0,983.5,2.0
45,Fruiting,24.4,34.4,64.0,983.0,4.0
46,Fruiting,24.5,34.5,65.0,982.5,5.0
47,Fruiting,24.6,34.6,66.0,982.0,4.0
48,Fruiting,24.7,34.7,67.0,981.5,3.0
49,Fruiting,24.8,34.8,68.0,981.0,2.0
50,Fruiting,24.9,34.9,69.0,980.5,4.0
51,Fruiting,25.0,35.0,60.0,980.0,5.0
52,Fruiting,25.1,35.1,61.0,979.5,4.0
53,Fruiting,25.2,35.2,62.0,979.0,3.0
54,Fruiting,25.3,35.3,63.0,978.5,2.0
55,Fruiting,25.4,35.4,64.0,978.0,4.0
56,Fruiting,25.5,35.5,65.0,977.5,5.0
57,Fruiting,25.6,35.6,66.0,977.0,4.0
58,Fruiting,25.7,35.7,67.0,976.5,3.0
59,Fruiting,25.8,35.8,68.0,976.0,2.0
60,Fruiting,25.9,35.9,69.0,975.5,4.0
61,Mature,26.0,36.0,60.0,975.0,5.0
62,Mature,26.1,36.1,61.0,974.5,4.0
63,Mature,26.2,36.2,62.0,974.0,3.0
64,Mature,26.3,36.3,63.0,973.5,2.0
65,Mature,26.4,36.4,64.0,973.0,4.0
66,Mature,26.5,36.5,65.0,972.5,5.0
67,Mature,26.6,36.6,66.0,972.0,4.0
68,Mature,26.7,36.7,67.0,971.5,3.0
69,Mature,26.8,36.8,68.0,971.0,2.0
70,Mature,26.9,36.9,69.0,970.5,4.0
71,Mature,27.0,37.0,60.0,970.0,5.0
72,Mature,27.1,37.1,61.0,969.5,4.0
73,Mature,27.2,37.2,62.0,969.0,3.0
74,Mature,27.3,37.3,63.0,968.5,2.0
75,Mature,27.4,37.4,64.0,968.0,4.0
76,Mature,27.5,37.5,65.0,967.5,5.0
77,Mature,27.6,37.6,66.0,967.0,4.0
78,Mature,27.7,37.7,67.0,966.5,3.0
79,Mature,27.8,37.8,68.0,966.0,2.0
80,Mature,27.9,37.9,69.0,965.5,4.0
81,Harvest,28.0,38.0,60.0,965.0,5.0
82,Harvest,28.1,38.1,61.0,964.5,4.0
83,Harvest,28.2,38.2,62.0,964.0,3.0
84,Harvest,28.3,38.3,63.0,963.5,2.0
85,Harvest,28.4,38.4,64.0,963.0,4.0
86,Harvest,28.5,38.5,65.0,962.5,5.0
87,Harvest,28.6,38.6,66.0,962.0,4.0
88,Harvest,28.7,38.7,67.0,961.5,3.0
89,Harvest,28.8,38.8,68.0,961.0,2.0
90,Harvest,28.9,38.9,69.0,960.5,4.0
91,Harvest,29.0,39.0,60.0,960.0,5.0
92,Harvest,29.1,39.1,61.0,959.5,4.0
93,Harvest,29.2,39.2,62.0,959.0,3.0
94,Harvest,29.3,39.3,63.0,958.5,2.0
95,Harvest,29.4,39.4,64.0,958.0,4.0
96,Harvest,29.5,39.5,65.0,957.5,5.0
97,Harvest,29.6,39.6,66.0,957.0,4.0
98,Harvest,29.7,39.7,67.0,956.5,3.0
99,Harvest,29.8,39.8,68.0,956.0,2.0
100,Harvest,29.9,39.9,69.0,955.5,4.0
101,Harvest,30.0,40.0,60.0,955.0,5.0
102,Harvest,30.1,40.1,61.0,954.5,4.0
103,Harvest,30.2,40.2,62.0,954.0,3.0
104,Harvest,30.3,40.3,63.0,953.5,2.0
105,Harvest,30.4,40.4,64.0,953.0,4.0
106,Harvest,30.5,40.5,65.0,952.5,5.0
107,Harvest,30.6,40.6,66.0,952.0,4.0
108,Harvest,30.7,40.7,67.0,951.5,3.0
109,Harvest,30.8,40.8,68.0,951.0,2.0
110,Harvest,30.9,40.9,69.0,950.5,4.0
111,Harvest,31.0,41.0,60.0,950.0,5.0
112,Harvest,31.1,41.1,61.0,949.5,4.0
113,Harvest,31.2,41.2,62.0,949.0,3.0
114,Harvest,31.3,41.3,63.0,948.5,2.0
115,Harvest,31.4,41.4,64.0,948.0,4.0
116,Harvest,31.5,41.5,65.0,947.5,5.0
117,Harvest,31.6,41.6,66.0,947.0,4.0
118,Harvest,31.7,41.7,67.0,946.5,3.0
119,Harvest,31.8,41.8,68.0,946.0,2.0
120,Harvest,31.9,41.9,69.0,945.5,4.0
