Day,Growth Stage,Min Temp (Â°C),Max Temp (Â°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,12.0,18.0,80.0,1015.0,1.5
2,Germination,12.3,18.2,79.5,1015.3,1.3
3,Germination,11.8,17.8,80.8,1015.1,1.4
4,Germination,12.1,18.1,79.2,1014.8,1.7
5,Germination,11.9,17.9,80.3,1015.4,1.5
6,Germination,12.2,18.3,79.0,1014.9,1.6
7,Germination,12.5,18.5,78.6,1015.2,1.2
8,Germination,11.7,17.7,80.7,1015.5,1.3
9,Germination,12.1,18.2,79.1,1015.0,1.4
10,Germination,11.8,17.9,80.4,1014.7,1.7
11,Germination,12.3,18.5,78.9,1015.6,1.1
12,Germination,12.0,18.0,80.0,1014.9,1.4
13,Germination,11.9,17.8,80.5,1015.3,1.5
14,Germination,12.4,18.6,78.7,1015.2,1.2
15,Germination,12.2,18.3,79.4,1014.8,1.6
16,Seedling,13.0,19.0,75.8,1013.0,0.9
17,Seedling,13.3,19.3,74.5,1012.5,0.7
18,Seedling,13.1,19.1,75.0,1013.3,1.1
19,Seedling,13.5,19.5,73.8,1012.2,0.8
20,Seedling,13.2,19.2,74.9,1012.9,1.0
21,Seedling,12.8,18.7,76.3,1013.6,0.7
22,Seedling,13.4,19.4,74.2,1012.7,0.9
23,Seedling,13.1,19.1,75.1,1013.1,1.0
24,Seedling,12.9,18.9,75.9,1013.8,0.5
25,Seedling,13.5,19.5,74.0,1012.4,0.6
26,Seedling,13.2,19.2,74.8,1013.0,0.8
27,Seedling,13.0,19.0,75.5,1013.3,1.1
28,Seedling,13.4,19.3,74.3,1012.5,0.7
29,Seedling,13.1,19.1,75.0,1013.2,0.9
30,Seedling,12.7,18.6,76.6,1013.7,0.6
31,Seedling,13.3,19.4,74.5,1012.6,1.0
32,Seedling,13.2,19.3,74.9,1013.0,0.9
33,Seedling,12.9,18.8,75.7,1013.4,0.5
34,Seedling,13.6,19.6,73.6,1012.3,1.2
35,Seedling,13.4,19.4,74.3,1012.8,0.7
36,Seedling,13.1,19.1,75.2,1013.5,0.6
37,Seedling,13.7,19.8,73.3,1012.2,1.1
38,Seedling,13.3,19.3,74.5,1013.1,0.8
39,Seedling,13.0,19.0,75.4,1013.3,1.0
40,Seedling,12.9,18.9,75.8,1013.7,0.7
41,Vegetative,14.0,20.5,70.5,1011.8,0.4
42,Vegetative,14.4,20.9,69.0,1011.2,0.2
43,Vegetative,14.2,20.6,70.2,1011.5,0.1
44,Vegetative,14.5,20.8,69.1,1011.0,0.0
45,Vegetative,14.1,20.3,70.6,1011.7,0.3
46,Vegetative,14.3,20.7,69.3,1011.3,0.2
47,Vegetative,14.6,21.0,68.5,1010.9,0.1
48,Vegetative,14.0,20.5,70.4,1011.4,0.0
49,Vegetative,14.5,21.0,68.7,1011.1,0.3
50,Vegetative,14.7,21.2,68.0,1010.6,0.1
51,Vegetative,14.2,20.6,69.9,1011.5,0.2
52,Vegetative,14.6,21.1,68.3,1011.0,0.0
53,Vegetative,14.1,20.5,70.5,1011.8,0.1
54,Vegetative,14.3,20.8,69.1,1011.2,0.0
55,Vegetative,14.8,21.3,67.8,1010.7,0.3
56,Vegetative,14.0,20.4,70.6,1011.6,0.2
57,Vegetative,14.5,21.0,68.9,1011.2,0.1
58,Vegetative,14.9,21.5,67.4,1010.8,0.0
59,Vegetative,14.2,20.5,70.2,1011.5,0.2
60,Vegetative,14.7,21.2,68.3,1010.9,0.1
61,Vegetative,15.2,22.0,65.0,1009.8,0.0
62,Vegetative,15.5,22.3,63.8,1009.4,0.1
63,Vegetative,15.0,21.8,65.5,1010.1,0.0
64,Vegetative,15.4,22.2,64.2,1009.7,0.2
65,Vegetative,15.1,21.9,65.3,1009.9,0.0
66,Vegetative,15.3,22.1,64.5,1009.5,0.0
67,Vegetative,14.9,21.6,66.1,1010.3,0.1
68,Vegetative,15.5,22.3,63.6,1009.4,0.0
69,Vegetative,15.2,21.9,65.0,1010.0,0.2
70,Vegetative,15.0,21.8,65.7,1010.2,0.1
71,Vegetative,15.4,22.1,64.3,1009.6,0.0
72,Vegetative,15.1,21.8,65.2,1009.9,0.2
73,Vegetative,15.0,21.7,65.8,1010.1,0.1
74,Vegetative,15.3,22.0,64.5,1009.8,0.0
75,Root Development,14.5,20.5,68.0,1010.5,0.2
76,Root Development,14.9,21.0,66.5,1009.9,0.1
77,Root Development,14.7,20.8,67.0,1010.3,0.0
78,Root Development,14.4,20.4,68.2,1010.8,0.1
79,Root Development,14.6,20.7,67.4,1010.2,0.2
80,Root Development,14.8,21.0,66.7,1010.0,0.0